dataset_name year month day dist_to_sun[au] SAMPLES_NUMBER SAMPLING_RATE[Hz] SAMPLE_LENGTH[ms]
solo_L2_rpw-tds-surv-rswf-e_20200615_V05 2020 06 15 0.5158715430616564 140 524275.03 7.812693254214555
solo_L2_rpw-tds-surv-rswf-e_20201225_V03 2020 12 25 0.7397805391563415 286 262137.52 15.62538650842911
solo_L2_rpw-tds-surv-rswf-e_20210207_V02 2021 02 07 0.49674137956473946 715 262137.52 31.25077301685822
solo_L2_rpw-tds-surv-rswf-e_20211019_V02 2021 10 19 0.739745796617915 1877 458915.2 17.850792963787015
solo_L2_rpw-tds-surv-rswf-e_20211108_V02 2021 11 08 0.8720217059142343 8574 262137.48 62.50155348466653
solo_L2_rpw-tds-surv-rswf-e_20220123_V02 2022 01 23 0.9091661561196765 5733 262137.53 62.501542308242065
solo_L2_rpw-tds-surv-rswf-e_20220926_V03 2022 09 26 0.4577975488604074 210 435647.6 9.402094855482028
solo_L2_rpw-tds-surv-rswf-e_20220927_V03 2022 09 27 0.44416303103488125 284 524275.03 15.62538650842911
solo_L2_rpw-tds-surv-rswf-e_20230303_V02 2023 03 03 0.7166047917823657 1949 262137.5 62.50154975919127
solo_L2_rpw-tds-surv-rswf-e_20230924_V01 2023 09 24 0.4103599729358229 283 262137.5 31.250774879595635
solo_L2_rpw-tds-surv-rswf-e_20230925_V01 2023 09 25 0.3970164886898528 897 486284.06 16.846120676636406
solo_L2_rpw-tds-surv-rswf-e_20230926_V01 2023 09 26 0.3839144407942127 1427 524275.0 15.625387439797818
